"id","classe","nome","efeito","status","Pontos 0 > 1","Pontos 2 > 4","Pontos 5 > 10"
"knight_postura_firme","Cavaleiro (Base)","Postura Firme","+50% de velocidade de movimento enquanto defende com o escudo.","Sem Escalonamento (Flag > 0)","5","",""
"knight_lamina_afiada","Cavaleiro (Base)","Lamina Afiada","O primeiro golpe apos 2s sem atacar tem 100% de chance de acerto critico.","Sem Escalonamento (Flag > 0)","7","",""
"knight_golpe_pesado","Cavaleiro (Base)","Golpe Pesado","Acertos criticos aumentam a forca de repulsao em +80% e atordoam inimigos por 0.3s.","Sem Escalonamento (Flag > 0)","4","",""
"knight_escudo_choque","Cavaleiro (Base)","Escudo de Choque","Bloquear um golpe direto projeta uma onda conica de ar que empurra inimigos a frente.","Sem Escalonamento (Flag > 0)","3","",""
"knight_segundo_folego","Cavaleiro (Base)","Segundo Folego","Ao cair para menos de 25% de vida, recupera instantaneamente 20% de HP (Recarga: 60s).","Sem Escalonamento (Flag > 0)","9","",""
"knight_muralha_movel","Cavaleiro (Base)","Muralha Movel","Correr em direcao a um inimigo com o escudo erguido concede +30% de velocidade de movimento.","Sem Escalonamento (Flag > 0)","6","",""
"knight_aco_temperado","Cavaleiro (Base)","Aco Temperado","+1 de defesa fisica para cada 100 moedas de ouro acumuladas na run (maximo +8).","Escala com Rank","1","2","4"
"knight_fio_carrasco","Cavaleiro (Base)","Fio do Carrasco","Causa +40% de dano contra qualquer inimigo com menos de 30% de vida.","Escala com Rank","1","4","8"
"knight_reflexo_blindado","Cavaleiro (Base)","Reflexo Blindado","Projeteis que atingem o escudo com bloqueio ativo tem 40% de chance de ricochetear de volta.","Sem Escalonamento (Flag > 0)","5","",""
"knight_vontade_indomavel","Cavaleiro (Base)","Vontade Indomavel","Torna o Cavaleiro imune a empurroes, knockback e desaceleracoes de armadilhas ou chefes.","Sem Escalonamento (Flag > 0)","10","",""
"knight_paladino_bencao_mare","Cavaleiro (Paladino)","Bencao da Mare","A Aura de Sobrevida pulsa 25% mais rapido e aumenta a regeneracao natural em +4 HP/s.","Escala com Rank","1","4","8"
"knight_paladino_bastiao_liquido","Cavaleiro (Paladino)","Bastiao Liquido","Barreira de sobrevida ganha capacidade maxima de +50% do HP e absorve 100% do dano de projeteis.","Sem Escalonamento (Flag > 0)","10","",""
"knight_paladino_gota_purificadora","Cavaleiro (Paladino)","Gota Purificadora","Eliminar um inimigo remove instantaneamente venenos ou queimaduras e cura 8 HP.","Sem Escalonamento (Flag > 0)","8","",""
"knight_paladino_correnteza_dilacerante","Cavaleiro (Paladino)","Correnteza Dilacerante","Inimigos na aura sofrem -40% de velocidade e recebem dano magico continuo a cada 0.5s.","Sem Escalonamento (Flag > 0)","4","",""
"knight_paladino_golpe_nascente","Cavaleiro (Paladino)","Golpe da Nascente","Cada 3o golpe de espada libera uma onda d'agua penetrante que cura o jogador em 5 HP.","Sem Escalonamento (Flag > 0)","6","",""
