ID;Classe;Subclasse/Elemento;Nome;Status;Efeito;Flavor;Variavel;Custo_Ouro;Arquivos_Referenciados;Decisao
"knight_postura_firme";"Cavaleiro";"Base (Fundamentais)";"Postura Firme";"IMPLEMENTADO";"+50% de velocidade de movimento enquanto defende com o escudo.";"Firmeza marcial com o escudo erguido, permitindo avancar contra chuvas de golpes sem perder velocidade.";"synth_postura_firme";"0";"objects\obj_player\Step_0.gml";""
"knight_lamina_afiada";"Cavaleiro";"Base (Fundamentais)";"Lamina Afiada";"IMPLEMENTADO";"O primeiro golpe apos 2s sem atacar tem 100% de chance de acerto critico.";"Paciencia e tecnica que acumulam poder na ponta da lamina quando o guerreiro aguarda o momento certo.";"synth_lamina_afiada";"0";"objects\obj_player\Draw_0.gml; scripts\scr_combat\scr_combat.gml";""
"knight_golpe_pesado";"Cavaleiro";"Base (Fundamentais)";"Golpe Pesado";"IMPLEMENTADO";"Acertos criticos aumentam a forca de repulsao em +80% e atordoam inimigos por 0.3s.";"Impacto demolidor que projeta monstros violentamente para tras ao atingir pontos criticos.";"synth_golpe_pesado";"0";"scripts\scr_combat\scr_combat.gml";""
"knight_escudo_choque";"Cavaleiro";"Base (Fundamentais)";"Escudo de Choque";"IMPLEMENTADO";"Bloquear um golpe direto projeta uma onda conica de ar que empurra inimigos a frente.";"O impacto absorvido pelo metal e canalizado em uma onda conica de ar que empurra agressores.";"synth_escudo_choque";"95";"scripts\scr_combat\scr_combat.gml";""
"knight_segundo_folego";"Cavaleiro";"Base (Fundamentais)";"Segundo Folego";"IMPLEMENTADO";"Ao cair para menos de 25% de vida, recupera instantaneamente 20% de HP (Recarga: 60s).";"Resiliencia heroica extrema que impede o guerreiro de sucumbir em momentos desesperadores.";"synth_segundo_folego";"135";"scripts\scr_combat\scr_combat.gml";""
"knight_muralha_movel";"Cavaleiro";"Base (Fundamentais)";"Muralha Movel";"IMPLEMENTADO";"Correr em direcao a um inimigo com o escudo erguido concede +30% de velocidade de movimento.";"Carga decidida com o escudo a frente para fechar a distancia contra inimigos e arqueiros.";"synth_muralha_movel";"65";"objects\obj_player\Step_0.gml";""
"knight_aco_temperado";"Cavaleiro";"Base (Fundamentais)";"Aco Temperado";"IMPLEMENTADO";"+1 de defesa fisica para cada 100 moedas de ouro acumuladas na run (maximo +8).";"Reforcos forjados com ligas preciosas que endurecem a armadura proporcionalmente as riquezas da run.";"synth_aco_temperado";"85";"scripts\scr_combat\scr_combat.gml";""
"knight_fio_carrasco";"Cavaleiro";"Base (Fundamentais)";"Fio do Carrasco";"IMPLEMENTADO";"Causa +40% de dano contra qualquer inimigo com menos de 30% de vida.";"Cortes impiedosos desenhados para decapitar oponentes desestabilizados a beira da morte.";"synth_fio_carrasco";"85";"scripts\scr_combat\scr_combat.gml";""
"knight_reflexo_blindado";"Cavaleiro";"Base (Fundamentais)";"Reflexo Blindado";"IMPLEMENTADO";"Projeteis que atingem o escudo com bloqueio ativo tem 40% de chance de ricochetear de volta.";"Angulacao perfeita do escudo capaz de defletir flechas e projeteis de volta aos agressores.";"synth_reflexo_blindado";"95";"objects\obj_enemy_projectile\Step_0.gml";""
"knight_vontade_indomavel";"Cavaleiro";"Base (Fundamentais)";"Vontade Indomavel";"IMPLEMENTADO";"Torna o Cavaleiro imune a empurroes, knockback e desaceleracoes de armadilhas ou chefes.";"Postura inabalavel que ignora terrenos escorregadios, ventanias e empurroes de chefes colossais.";"synth_vontade_indomavel";"105";"scripts\scr_combat\scr_combat.gml";""
